userId,txCount,overpaidAmount,diffTotal,diffAvailable,diffFrozen,accountTotal,replayTotal,accountAvailable,accountFrozen,replayAvailable,replayFrozen,payoutTotal,settlementTotal,bombLossTotal,refundReversalNet,depositAdjustNet,offlineFeeNet,hasNegativeMoment,lastTxAt
96,136,288,-288,-268.2,-19.8,715.1,427.1,1,714.1,-267.2,694.3,5413,5994.4,74.1,0,0,-100,true,2026-06-23T17:32:36.910Z
66,534,8,-8,-446.1,438.1,14411.7,14403.7,10004.5,4407.2,9558.4,4845.3,30060,44772.7,216,0,0,0,true,2026-06-23T16:00:00.185Z
