userId,txCount,overpaidAmount,diffTotal,diffAvailable,diffFrozen,accountTotal,replayTotal,accountAvailable,accountFrozen,replayAvailable,replayFrozen,payoutTotal,settlementTotal,bombLossTotal,refundReversalNet,depositAdjustNet,offlineFeeNet,hasNegativeMoment,lastTxAt
96,82,288,-288,-288,0,303.2,15.2,303.2,0,15.2,0,3473,3501.7,13.5,0,0,0,false,2026-04-06T09:37:28.995Z
66,155,8,-8,-353.1,345.1,3360.6,3352.6,3360.6,0,3007.5,345.1,6190,9577.6,35,0,0,0,true,2026-04-25T00:00:54.174Z
